Skill,Length,UpPercent,Slope,1,2,3,4
Ok,4,2,Low,88,124,155,206
Ok,4,2,Medium,84,119,149,198
Ok,4,2,High,81,114,143,190
Ok,4,5,Low,91,128,160,212
Ok,4,5,Medium,87,123,154,204
Ok,4,5,High,84,118,148,196
Ok,4,10,Low,94,132,165,218
Ok,4,10,Medium,90,127,158,209
Ok,4,10,High,86,122,152,201
Ok,5,-10,Low,64,103,129,172
Ok,5,-10,Medium,61,99,124,165
Ok,5,-10,High,59,95,119,158
Ok,5,-5,Low,67,108,136,181
Ok,5,-5,Medium,64,104,131,174
Ok,5,-5,High,61,100,126,167
Ok,5,-2,Low,71,114,143,190
Ok,5,-2,Medium,68,109,137,182
Ok,5,-2,High,65,105,132,175
Ok,5,0,Low,75,120,150,200
Ok,5,0,Medium,72,115,144,192
Ok,5,0,High,69,110,138,184
Ok,5,2,Low,77,124,155,206
Ok,5,2,Medium,74,119,149,198
Ok,5,2,High,71,114,143,190
Ok,5,5,Low,79,128,160,212
Ok,5,5,Medium,76,123,154,204
Ok,5,5,High,73,118,148,196
Ok,5,10,Low,81,132,165,218
Ok,5,10,Medium,78,127,158,209
Ok,5,10,High,75,122,152,201
Ok,6,-10,Low,51,103,129,172
Ok,6,-10,Medium,49,99,124,165
Ok,6,-10,High,47,95,119,158
Ok,6,-5,Low,54,108,136,181
Ok,6,-5,Medium,52,104,131,174
Ok,6,-5,High,50,100,126,167
Ok,6,-2,Low,57,114,143,190
Ok,6,-2,Medium,55,109,137,182
Ok,6,-2,High,53,105,132,175
Ok,6,0,Low,60,120,150,200
Ok,6,0,Medium,58,115,144,192
Ok,6,0,High,56,110,138,184
Ok,6,2,Low,62,124,155,206
Ok,6,2,Medium,60,119,149,198
Ok,6,2,High,58,114,143,190
Ok,6,5,Low,64,128,160,212
Ok,6,5,Medium,61,123,154,204
Ok,6,5,High,59,118,148,196
Ok,6,10,Low,66,132,165,218
Ok,6,10,Medium,63,127,158,209
Ok,6,10,High,60,122,152,201
Ok,7,-10,Low,47,99,129,172
Ok,7,-10,Medium,45,95,124,165
Ok,7,-10,High,43,91,119,158
Ok,7,-5,Low,49,104,136,181
Ok,7,-5,Medium,47,100,131,174
Ok,7,-5,High,45,96,126,167
Ok,7,-2,Low,52,109,143,190
Ok,7,-2,Medium,50,105,137,182
Ok,7,-2,High,48,101,132,175
Ok,7,0,Low,55,115,150,200
Ok,7,0,Medium,53,110,144,192
Ok,7,0,High,51,106,138,184
Ok,7,2,Low,57,118,155,206
Ok,7,2,Medium,55,113,149,198
Ok,7,2,High,53,108,143,190
Ok,7,5,Low,59,122,160,212
Ok,7,5,Medium,57,117,154,204
Ok,7,5,High,55,112,148,196
Ok,7,10,Low,61,126,165,218
Ok,7,10,Medium,59,121,158,209
Ok,7,10,High,57,116,152,201
Ok,8,-10,Low,39,90,129,172
Ok,8,-10,Medium,37,86,124,165
Ok,8,-10,High,36,83,119,158
Ok,8,-5,Low,41,95,136,181
Ok,8,-5,Medium,39,91,131,174
Ok,8,-5,High,37,87,126,167
Ok,8,-2,Low,43,100,143,190
Ok,8,-2,Medium,41,96,137,182
Ok,8,-2,High,39,92,132,175
Ok,8,0,Low,45,105,150,200
Ok,8,0,Medium,43,101,144,192
Ok,8,0,High,41,97,138,184
Ok,8,2,Low,46,108,155,206
Ok,8,2,Medium,44,104,149,198
Ok,8,2,High,42,100,143,190
Ok,8,5,Low,47,111,160,212
Ok,8,5,Medium,45,107,154,204
Ok,8,5,High,43,103,148,196
Ok,8,10,Low,48,114,165,218
Ok,8,10,Medium,46,109,158,209
Ok,8,10,High,44,105,152,201
Ok,9,-10,Low,34,86,129,172
Ok,9,-10,Medium,33,83,124,165
Ok,9,-10,High,32,80,119,158
Ok,9,-5,Low,36,90,136,181
Ok,9,-5,Medium,35,86,131,174
Ok,9,-5,High,34,83,126,167
Ok,9,-2,Low,38,95,143,190
Ok,9,-2,Medium,36,91,137,182
Ok,9,-2,High,35,87,132,175
Ok,9,0,Low,40,100,150,200
Ok,9,0,Medium,38,96,144,192
Ok,9,0,High,36,92,138,184
Ok,9,2,Low,41,103,155,206
Ok,9,2,Medium,39,99,149,198
Ok,9,2,High,37,95,143,190
Ok,9,5,Low,42,106,160,212
Ok,9,5,Medium,40,102,154,204
Ok,9,5,High,38,98,148,196
Ok,9,10,Low,43,109,165,218
Ok,9,10,Medium,41,105,158,209
Ok,9,10,High,39,101,152,201
Ok,10,-10,Low,27,82,129,172
Ok,10,-10,Medium,26,79,124,165
Ok,10,-10,High,25,76,119,158
Ok,10,-5,Low,28,86,136,181
Ok,10,-5,Medium,27,83,131,174
Ok,10,-5,High,26,80,126,167
Ok,10,-2,Low,29,90,143,190
Ok,10,-2,Medium,28,86,137,182
Ok,10,-2,High,27,83,132,175
Ok,10,0,Low,30,95,150,200
Ok,10,0,Medium,29,91,144,192
Ok,10,0,High,28,87,138,184
Ok,10,2,Low,31,98,155,206
Ok,10,2,Medium,30,94,149,198
Ok,10,2,High,29,90,143,190
Ok,10,5,Low,32,101,160,212
Ok,10,5,Medium,31,97,154,204
Ok,10,5,High,30,93,148,196
Ok,10,10,Low,33,104,165,218
Ok,10,10,Medium,32,100,158,209
Ok,10,10,High,31,96,152,201
Ok,11,-10,Low,25,78,129,172
Ok,11,-10,Medium,24,75,124,165
Ok,11,-10,High,23,72,119,158
Ok,11,-5,Low,26,82,136,181
Ok,11,-5,Medium,25,79,131,174
Ok,11,-5,High,24,76,126,167
Ok,11,-2,Low,27,86,143,190
Ok,11,-2,Medium,26,83,137,182
Ok,11,-2,High,25,80,132,175
Ok,11,0,Low,28,91,150,200
Ok,11,0,Medium,27,87,144,192
Ok,11,0,High,26,84,138,184
Ok,11,2,Low,29,94,155,206
Ok,11,2,Medium,28,90,149,198
Ok,11,2,High,27,86,143,190
Ok,11,5,Low,30,97,160,212
Ok,11,5,Medium,29,93,154,204
Ok,11,5,High,28,89,148,196
Ok,11,10,Low,31,100,165,218
Ok,11,10,Medium,30,96,158,209
Ok,11,10,High,29,92,152,201
Ok,12,-10,Low,21,78,129,172
Ok,12,-10,Medium,20,75,124,165
Ok,12,-10,High,19,72,119,158
Ok,12,-5,Low,22,82,136,181
Ok,12,-5,Medium,21,79,131,174
Ok,12,-5,High,20,76,126,167
Ok,12,-2,Low,23,86,143,190
Ok,12,-2,Medium,22,83,137,182
Ok,12,-2,High,21,80,132,175
Ok,12,0,Low,24,91,150,200
Ok,12,0,Medium,23,87,144,192
Ok,12,0,High,22,84,138,184
Ok,12,2,Low,25,94,155,206
Ok,12,2,Medium,24,90,149,198
Ok,12,2,High,23,86,143,190
Ok,12,5,Low,26,97,160,212
Ok,12,5,Medium,25,93,154,204
Ok,12,5,High,24,89,148,196
Ok,12,10,Low,27,100,165,218
Ok,12,10,Medium,26,96,158,209
Ok,12,10,High,25,92,152,201
Ok,13,-10,Low,18,78,129,172
Ok,13,-10,Medium,17,75,124,165
Ok,13,-10,High,16,72,119,158
Ok,13,-5,Low,19,82,136,181
Ok,13,-5,Medium,18,79,131,174
Ok,13,-5,High,17,76,126,167
